0,437,507
1,40,506
2,465,505
3,58,505
4,419,505
5,309,504
6,16,505
7,99,503
8,450,502
9,242,502
10,205,503
11,349,502
12,484,501
13,406,500
14,219,500
15,84,500
16,287,500
17,255,499
18,498,498
19,389,498
20,171,501
21,28,498
22,271,498
23,161,499
24,68,497
25,46,498
26,471,498
27,461,495
28,369,497
29,310,496
30,119,497
31,135,493
32,183,493
33,151,493
34,339,490
35,325,492
36,213,490
37,197,491
38,106,490
39,57,491
40,476,489
41,250,490
42,358,488
43,302,488
44,227,489
45,167,488
46,459,487
47,433,487
48,379,488
49,122,487
50,178,486
51,406,485
52,84,486
53,43,485
54,266,485
55,69,484
56,314,483
57,257,484
58,24,484
59,446,483
60,420,482
61,330,481
62,286,482
63,240,481
64,154,481
65,394,479
66,131,480
67,205,479
68,498,476
69,219,477
70,103,477
71,382,478
72,341,476
73,314,475
74,193,478
75,52,478
76,482,475
77,243,474
78,184,474
79,165,475
80,365,474
81,144,473
82,274,473
83,262,473
84,119,472
85,15,472
86,37,472
87,328,471
88,253,470
89,89,470
90,354,471
91,294,469
92,69,470
93,418,469
94,377,469
95,54,468
96,461,468
97,440,468
98,107,467
99,308,467
100,394,465
101,146,465
102,284,463
103,234,466
104,474,463
105,194,463
106,157,464
107,10,463
108,242,463
109,504,462
110,407,461
111,363,462
112,209,461
113,221,459
114,450,459
115,429,459
116,269,460
117,148,459
118,132,459
119,319,458
120,492,456
121,251,456
122,178,457
123,110,458
124,83,457
125,24,458
126,216,454
127,33,457
128,373,455
129,351,455
130,294,454
131,164,454
132,54,454
133,10,452
134,336,451
135,237,453
136,39,451
137,386,450
138,281,451
139,97,450
140,122,449
141,70,449
142,472,449
143,155,448
144,404,447
145,362,447
146,426,446
147,222,446
148,193,445
149,175,446
150,28,445
151,449,445
152,304,444
153,257,444
154,108,445
155,318,444
156,139,442
157,495,442
158,375,441
159,208,441
160,349,442
161,235,440
162,462,439
163,437,438
164,415,437
165,400,439
166,181,438
167,10,439
168,482,437
169,471,438
170,337,437
171,281,437
172,93,437
173,39,437
174,388,436
175,164,436
176,64,436
177,449,433
178,115,435
179,24,433
180,363,433
181,268,432
182,194,433
183,79,431
184,467,430
185,152,431
186,441,429
187,377,429
188,304,430
189,133,430
190,123,430
191,51,429
192,492,428
193,349,428
194,319,431
195,206,428
196,290,426
197,234,427
198,103,426
199,327,426
200,250,425
201,398,424
202,163,424
203,23,425
204,453,424
205,430,424
206,220,423
207,182,424
208,478,423
209,409,423
210,374,422
211,92,423
212,66,423
213,37,422
214,313,420
215,504,420
216,284,419
217,195,419
218,107,418
219,465,417
220,267,418
221,169,418
222,490,416
223,442,416
224,80,418
225,385,417
226,350,418
227,152,416
228,131,416
229,19,416
230,420,415
231,361,415
232,119,414
233,54,415
234,399,413
235,333,414
236,139,412
237,294,411
238,279,410
239,249,411
240,176,410
241,99,412
242,47,412
243,347,409
244,68,409
245,437,408
246,374,408
